Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.21     79.04     0.22 23349105     0.00     0.00  camlCs_util_coercion__code_begin
  0.21     79.26     0.22  6890158     0.00     0.00  camlCode_binding__build_bind_tuple_field_code_438
  0.21     79.48     0.22 46017608     0.00     0.00  caml_darken
  0.21     79.70     0.22 25961866     0.00     0.00  camlPhysical_value_util__table_of_physical_value_181
  0.21     79.92     0.22 12984260     0.00     0.00  camlGalax_dm__method_nodeid_1000
  0.21     80.14     0.22  9552652     0.00     0.00  camlVariable_context_manager__fun_296
  0.21     80.36     0.22        1     0.22     1.16  caml_startup__code_begin
  0.20     80.57     0.21 56811851     0.00     0.00  camlPhysical_item__getAtomicValue_164
  0.20     80.78     0.21  2641345     0.00     0.00  camlList__sort_295
  0.20     80.99     0.21 48109963     0.00     0.00  camlEvaluation_expr__update_allocate_holder_if_needed_323
  0.19     81.19     0.20  7039236     0.00     0.00  camlPhysical_value_util__item_cursor_of_physical_value_196
  0.19     81.39     0.20 27362116     0.00     0.00  camlPhysical_sequence__list_of_sequence_144
  0.19     81.58     0.20 20514419     0.00     0.00  camlPhysical_value_util__item_list_of_physical_value_198
  0.19     81.78     0.20 19360452     0.00     0.00  camlPhysical_value_util__unsafe_xml_value_of_physical_value_175
  0.19     81.97     0.20  7394199     0.00     0.00  caml_curry2_1
  0.19     82.16     0.19 21976429     0.00     0.00  camlEvaluation_expr__fun_518
  0.19     82.35     0.19 19271463     0.00     0.00  camlPhysical_value_util__physical_value_of_item_list_140
  0.19     82.54     0.19  5452712     0.00     0.00  camlCode_item_tuple__eval_for_572
  0.18     82.73     0.19 12464072     0.00     0.00  camlDm_step__eval_node_test_gen_605
  0.18     82.91     0.19  9701139     0.00     0.00  caml_curry5_4
  0.18     83.09     0.18 23881275     0.00     0.00  camlCode_fn__item_node_compare_3384
  0.18     83.27     0.18                             caml_string_get
  0.17     83.45     0.18 23881275     0.00     0.00  camlNodeid__docorder_compare_207
  0.17     83.62     0.18 13601935     0.00     0.00  camlCursor__cursor_get_singleton_217
  0.17     83.79     0.17 13777840     0.00     0.00  caml_curry4_3
  0.17     83.96     0.17 11976009     0.00     0.00  caml_apply3
  0.17     84.13     0.17    12367     0.00     0.00  camlList__flatten_82
  0.17     84.30     0.17     2461     0.00     0.00  camlList__split_244
  0.16     84.46     0.16  6894142     0.00     0.00  camlNamespace_names__rqname_equal_194
  0.16     84.62     0.16 12594511     0.00     0.00  camlCursor__cursor_filter_268
  0.16     84.78     0.16 12420596     0.00     0.00  camlCamlinternalOO__create_object_opt_357
  0.15     84.94     0.16 23881275     0.00     0.00  camlDm_util__node_compare_211
  0.15     85.09     0.15  6847695     0.00     0.00  camlCode_tuple__fun_590
  0.14     85.23     0.15  8190261     0.00     0.00  caml_curry6_5
